country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
ASEAN (Ember),2023,,,,,,,,,40.64,3.284,,571.222,,,,,,546.94,,,,,44.201,,1237.4,1237.4,,,,,,,,,921.19,,,74.446,,,,,,361.13,,,,,,29.185,,706.83,,,,,192.33,,15.543,,,,,,316.21,,25.554,,,,,,,,0.0,,0.0,,,,,,13.12,,,,,,1.06,,,69.26,28.62,,,,,,5.597,2.313,,,,,,,,316.21,,25.554,,,,,,38.51,,3.112,,,,,,16.11,,1.302,
Africa,2023,,1460482036.0,,0.989,0.008,0.571,0.833,,,,0.014,,-0.95,-10.881,776.449,1133.99,,,0.064,1.095,1169.514,1708.054,,19.561,,,,-0.389,-22.647,3969.284,,-0.915,-48.072,,,3564.061,5205.247,,89.791,-1.993,-34.821,1712.291,,,1172.415,-0.823,-21.036,1736.753,2536.496,,29.537,,3.449,12.517,419.9,,,287.508,,7.243,4.762,25.425,591.821,,,405.223,,10.209,,,-11.856,-3.077,22.191,,,15.195,,0.383,-0.1,-2.37,2358.967,,,1615.197,2.378,92.273,2719.727,3972.113,,40.692,26.758,,,15.081,3.651,,,18.322,,,0.462,,5797.068,5.571,28.502,569.63,,,390.029,,9.826,7.965,3.51,49.868,,,34.145,,0.86,14.308,8.815,72.271,,,49.484,,1.247
Africa (EI),2023,,,,0.989,0.008,,0.833,,,,0.014,,-0.95,-10.881,,1133.99,,224.717,0.064,1.095,,1708.054,24.888,19.561,,902.927,16.618,-0.389,-22.647,,,-0.915,-48.072,,670.344,,5205.247,74.241,89.791,-1.993,-34.821,1712.291,,383.443,,-0.822,-21.036,,2536.496,42.467,29.537,,3.449,12.517,419.9,,161.645,,17.902,7.243,4.762,25.425,591.821,,227.27,,25.17,10.209,,,-11.856,-3.077,22.191,,8.903,,0.986,0.383,-0.1,-2.37,2358.967,,62.184,,2.378,92.273,,3972.113,6.887,40.692,26.758,9.704,,15.081,3.651,,,,1.075,,0.462,,5797.069,5.571,28.502,569.63,,218.368,,24.184,9.826,7.965,3.51,49.868,,19.197,,2.126,0.86,14.308,8.815,72.271,,27.821,,3.081,1.247
Africa (Ember),2023,,,,,,,,,2.99,0.34,,545.145,,,,,,223.39,,,,,25.435,,878.28,878.28,,,,,,,,,656.16,,,74.71,,,,,,373.8,,,,,,42.56,,478.79,,,,,150.8,,17.17,,,,,,222.12,,25.29,,,,,,,,8.16,,0.929,,,,,,58.97,,,,,,6.714,,,9.03,6.04,,,,,,1.028,0.688,,,,,,,,213.96,,24.361,,,,,,27.14,,3.09,,,,,,26.99,,3.073,
Algeria,2023,DZA,45606480.0,,,,,,,,,,,-11.119,-0.242,42.384,1.933,,,,,,,,0.274,,85.91,12.206,-3.976,-29.188,15458.39,,-4.003,-29.319,,,15416.595,703.097,,99.73,-8.031,-40.425,462.962,,,10151.243,4.006,39.116,22265.203,1015.438,,65.668,,329.875,0.137,0.179,1.508,0.069,3.918,0.08,0.025,7.75,0.131,1.906,16.089,0.734,41.795,0.854,0.27,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.002,11.348,238.201,,,5222.968,-2.715,-19.596,15397.637,702.232,,33.787,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,1883.719,705.003,7.75,0.131,1.906,16.089,0.734,41.795,0.854,0.27,0.0,-0.006,1.686,14.23,0.649,36.966,0.755,0.239,0.0,-0.0,0.042,0.351,0.016,0.911,0.019,0.006
Angola,2023,AGO,36684212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-3.452,-23.199,17686.424,648.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2023,ARG,45773888.0,,-8.763,-1.227,279.042,12.773,50.902,2.33,1.519,1.253,354.103,-14.087,-2.098,279.499,12.794,13.108,0.6,,,,,0.391,1.255,166.1,153.43,16.524,-0.936,-9.64,22277.793,,-3.573,-31.633,1993.276,91.24,18648.033,853.593,59.467,83.707,-1.999,-9.164,449.364,1603.097,73.38,9817.038,-0.165,-0.689,9084.344,415.826,47.826,44.066,54.33,31.308,18.302,77.665,724.649,33.17,1696.718,21.619,7.616,12.499,21.993,166.148,1358.635,62.19,3629.761,40.533,16.293,12.67,7.628,20.0,3.656,22.342,195.526,8.95,488.099,5.833,2.191,-4.947,-20.371,391.435,377.071,17.26,8551.495,12.976,68.452,13020.122,595.982,11.249,38.386,7.265,2.276,,-3.276,-0.246,49.716,,158.705,1.483,,0.712,3351.911,1019.741,11.503,18.337,143.806,1163.109,53.24,3141.663,34.7,14.102,11.309,0.836,8.501,71.001,3.25,185.719,2.118,0.834,2.192,0.672,37.602,316.556,14.49,821.478,9.444,3.687
Asia,2023,,4751819668.0,,14.13,29.243,49.705,236.19,,,,0.258,,4.423,1621.242,8054.298,38272.57,,,4.675,1648.191,7766.774,36906.312,,41.864,,,,4.372,3829.758,19239.422,,4.052,3031.352,,,16382.81,77848.156,,85.152,1.935,290.326,15293.399,,,3218.43,1.387,181.393,2790.19,13258.481,,16.728,,-5.479,-303.467,4908.864,,,1033.049,,5.369,6.79,798.408,13574.107,,,2856.613,,14.848,,,7.213,130.99,2050.68,,,431.557,,2.243,4.834,1119.781,24282.188,,,5110.082,0.627,97.169,3279.891,15585.448,,26.56,1210.736,,,6.202,71.647,,,254.794,,,1.324,,91422.266,6.713,667.418,11523.428,,,2425.056,,12.605,26.865,508.794,2435.75,,,512.593,,2.664,15.656,361.202,2731.887,,,574.914,,2.988
Asia (Ember),2023,,,,,,,,,339.2,2.226,,589.91,,,,,,8585.52,,,,,56.344,,15237.65,15237.65,,,,,,,,,10381.52,,,68.131,,,,,,1628.89,,,,,,10.69,,8988.84,,,,,1798.5,,11.803,,,,,,4856.13,,31.869,,,,,,,,785.86,,5.157,,,,,,167.11,,,,,,1.097,,,367.82,28.62,,,,,,2.414,0.188,,,,,,,,4070.27,,26.712,,,,,,894.57,,5.871,,,,,,1009.38,,6.624,
Asia Pacific (EI),2023,,,,14.12,29.094,,235.131,,,,0.29,,4.544,1638.312,,37693.125,,8612.44,4.898,1840.391,,39411.32,56.357,46.507,,15281.965,20.915,4.651,3602.148,,,4.412,2869.227,,10227.402,,67908.492,66.925,83.788,1.641,151.025,9353.838,,1501.805,,0.589,40.485,,6918.391,9.827,11.541,,-6.232,-326.785,4645.199,,1788.223,,11.702,5.731,6.449,732.918,13139.722,,4922.789,,32.213,16.212,,,5.861,101.093,1946.937,,781.054,,5.111,2.402,5.459,1079.893,20861.533,,113.156,,0.363,14.53,,4020.774,0.74,25.74,1187.498,380.601,,6.153,69.739,,,,2.491,,1.465,,81048.219,6.555,631.824,11192.784,,4141.735,,27.102,13.81,26.299,494.866,2409.973,,927.747,,6.071,2.974,15.949,364.911,2714.984,,1045.164,,6.839,3.35
