country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Australia,2023,AUS,26439114.0,,-4.225,-0.057,48.891,1.293,127.084,3.36,1.222,0.077,548.692,-2.33,-9.995,15848.156,419.011,4823.157,127.52,3.812,118.976,122554.555,3240.234,46.389,25.054,274.89,274.89,18.057,0.689,11.44,63256.879,,-0.556,-7.95,6646.592,175.73,53779.406,1421.88,63.927,85.017,-7.184,-31.054,401.215,1618.057,42.78,15175.056,-1.62,-24.989,57392.324,1517.402,15.563,23.99,150.83,-8.401,-3.793,39.643,596.087,15.76,1499.42,5.733,2.37,8.729,19.39,250.576,3750.504,99.16,9477.472,36.073,14.983,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.821,33.098,601.654,205.378,5.43,22756.195,-8.322,-16.536,6890.214,182.171,1.975,35.974,9.978,3.126,,-1.911,-0.194,118.222,,377.389,1.137,,0.597,10397.096,1672.456,8.729,19.39,250.576,3750.504,99.16,9477.472,36.073,14.983,19.844,18.998,116.88,1774.265,46.91,4420.727,17.065,6.989,6.049,4.437,82.782,1253.068,33.13,3131.045,12.052,4.95
Austria,2023,AUT,8958961.0,,-3.254,-0.15,497.267,4.455,398.484,3.57,5.332,1.158,110.812,-6.639,-1.901,2984.383,26.737,6.697,0.06,,,,,0.09,6.948,67.56,66.96,22.963,1.328,5.042,42952.613,,-5.034,-12.222,1159.733,10.39,25737.123,230.578,15.517,59.92,-13.036,-10.315,68.813,800.316,7.17,7680.889,,,,,10.708,17.882,7.42,14.355,12.348,100.934,4441.363,39.79,11266.246,59.424,26.229,12.427,17.263,154.233,6314.348,56.57,17215.49,84.483,40.08,0.6,0.888,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,-0.005,135.028,352.719,3.16,15071.851,,,,,4.719,35.089,14.551,3.57,0.0,-3.026,-0.454,398.484,0.0,1624.159,5.332,0.0,3.781,7474.081,384.811,12.427,17.263,154.233,6314.348,56.57,17215.49,84.483,40.08,36.193,3.529,13.414,575.96,5.16,1497.319,7.706,3.486,10.937,1.99,20.879,898.542,8.05,2330.5,12.022,5.426
Azerbaijan,2023,AZE,10412652.0,,,,,,,,,,,0.0,0.0,0.075,0.001,,,,,,,,0.0,,29.302,13.048,8.352,17.562,21881.906,,8.342,17.136,,,21373.877,222.559,,97.678,11.056,15.054,151.216,,,14522.323,4.172,14.24,34148.914,355.581,,66.367,,10.509,0.421,4.581,169.352,1.763,439.918,6.018,2.01,9.137,0.426,5.29,193.121,2.011,508.029,6.863,2.322,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.007,2.083,71.342,,,6851.479,-7.469,-28.398,33786.094,351.803,,31.311,0.356,0.112,,8.622,0.028,10.708,,34.183,0.381,,0.156,2814.125,227.849,9.137,0.426,5.29,193.121,2.011,508.029,6.863,2.322,30.378,0.047,0.206,7.625,0.079,19.808,0.271,0.091,-32.053,-0.07,0.147,5.436,0.057,14.12,0.193,0.065
Bahrain,2023,BHR,1485521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.857,9.235,112366.141,166.922,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,2023,BGD,172954320.0,,,,,,0.0,0.0,0.0,,691.411,41.327,22.894,452.666,78.291,85.63,14.81,,,,,14.504,15.397,118.85,102.11,20.224,-1.831,-9.485,2940.021,,-2.007,-10.307,581.483,100.57,2910.384,503.364,98.492,98.992,-1.957,-5.613,281.259,412.363,71.32,1626.203,-6.26,-14.094,1220.163,211.032,69.846,55.313,70.6,-11.8,-0.245,1.776,4.105,0.71,10.267,0.695,0.349,19.538,0.822,5.126,8.904,1.54,29.636,1.508,1.008,16.74,14.085,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.095,-27.588,143.814,83.49,14.44,831.515,,,,,14.142,28.283,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.002,590.387,508.489,19.538,0.822,5.126,8.904,1.54,29.636,1.508,1.008,46.458,1.037,3.295,4.741,0.82,19.049,0.803,0.648,226.364,0.03,0.043,0.058,0.01,0.249,0.01,0.008
Belarus,2023,BLR,9498237.0,,,0.0,0.0,0.0,,,,0.0,,3.486,0.379,1185.304,11.258,,,,,,,,3.803,,41.817,15.127,0.589,1.734,31170.637,,-5.525,-15.413,,,27749.463,263.571,,89.024,-9.091,-16.784,167.84,,,17670.684,,,,,,56.69,,-18.919,-0.185,0.779,31.585,0.3,82.047,0.717,0.263,115.909,17.146,32.495,1354.708,12.867,3421.171,30.771,10.976,,,150.455,17.529,29.251,1235.471,11.735,3079.667,28.062,9.88,1.188,0.992,84.472,,,8893.477,,,,,,28.532,1.62,0.507,,-2.554,-0.042,53.431,,170.563,1.214,,0.547,4402.574,296.066,-11.118,-0.383,3.244,119.237,1.133,341.504,2.708,1.096,-26.545,-0.146,0.398,16.14,0.153,41.926,0.367,0.135,-1.7,-0.009,0.446,18.081,0.172,46.969,0.411,0.151
Belgium,2023,BEL,11686148.0,,-0.823,-0.071,731.289,8.546,336.296,3.93,4.769,1.331,138.107,-14.927,-4.807,2344.189,27.395,4.279,0.05,,,,,0.061,4.267,83.97,82.4,15.015,-7.548,-52.423,54942.238,,-5.875,-29.934,1860.322,21.74,41036.965,479.564,26.383,74.691,-5.822,-8.473,137.061,1471.828,17.2,11728.533,,,,,20.874,21.347,11.38,44.697,0.312,1.019,32.517,0.38,87.197,0.461,0.159,-11.159,-22.489,162.499,5190.761,60.66,13905.276,73.617,25.309,1.57,1.87,-24.957,-27.697,82.08,2859.796,33.42,7023.69,40.558,12.784,-5.02,-16.655,315.108,384.216,4.49,26964.242,,,,,5.449,49.077,11.095,3.93,0.0,-29.586,-4.662,336.296,0.0,949.375,4.769,0.0,1.728,7051.083,642.063,7.16,5.208,80.419,2330.965,27.24,6881.586,33.058,12.525,6.585,1.111,19.038,655.477,7.66,1629.079,9.296,2.965,26.908,8.517,40.722,1306.675,15.27,3484.646,18.532,6.342
Bolivia,2023,BOL,12388575.0,,,,,,29.866,0.37,3.045,,531.687,,,,,0.0,0.0,,,,,0.0,,12.15,12.15,,,,,,,,698.224,8.65,,,71.193,,,,,681.273,8.44,,-12.921,-17.721,9639.541,119.42,69.465,,6.46,,,,186.462,2.31,,19.012,,,,,282.518,3.5,,28.807,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,16.951,0.21,,,,,,1.728,,,0.37,0.0,,,29.866,0.0,,3.045,0.0,,980.742,,,,,282.518,3.5,,28.807,,,,,28.252,0.35,,2.881,,,,,37.938,0.47,,3.868,
Bosnia and Herzegovina,2023,BIH,3210855.0,,,,,,12.458,0.04,0.237,,600.0,,,,,3111.321,9.99,,,,,59.112,,12.51,16.9,,,,,,,,3120.664,10.02,,,59.29,,,,,0.0,0.0,,,,,,0.0,,10.14,,,,1983.895,6.37,,37.692,,,,,2142.731,6.88,,40.71,,-4.39,-35.092,,,,0.0,0.0,,0.0,,,,,9.343,0.03,,,,,,0.178,,,0.04,0.0,,,12.458,0.0,,0.237,0.0,,5263.396,,,,,2142.731,6.88,,40.71,,,,,65.403,0.21,,1.243,,,,,80.975,0.26,,1.538,
Brazil,2023,BRA,216422448.0,,9.969,24.119,1229.402,266.07,248.218,53.72,7.532,6.904,98.348,-2.194,-3.568,735.107,159.094,79.428,17.19,-11.102,-3.363,124.424,26.928,2.41,4.128,726.09,713.18,25.553,3.256,121.514,17806.445,,0.25,4.679,305.929,66.21,8677.089,1877.917,9.284,48.73,-6.251,-19.996,299.88,176.322,38.16,1385.623,1.826,4.201,1082.27,234.228,5.351,7.782,70.14,0.36,-0.047,1113.496,1992.769,431.28,5145.012,60.473,28.894,7.248,116.835,1975.798,2989.385,646.97,9129.358,90.716,51.27,12.91,1.778,-0.337,-0.255,36.169,67.045,14.51,167.123,2.035,0.939,2.031,28.243,1418.943,50.18,10.86,6556.358,12.546,238.153,9871.219,2136.353,1.523,36.82,178.229,55.833,,1.453,2.552,257.98,,823.525,7.829,,4.625,3295.314,3853.715,7.381,117.09,1939.629,2922.34,632.46,8962.235,88.682,50.331,70.887,55.189,133.733,238.977,51.72,617.926,7.252,3.47,17.0,35.275,248.1,442.376,95.74,1146.369,13.424,6.438
Brunei,2023,BRN,452536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.768,-6.11,220580.422,99.821,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.181,0.095,116137.047,52.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,2023,BGR,6687716.0,,26.182,0.566,408.009,2.729,325.971,2.18,5.451,1.369,335.334,-38.697,-28.136,6664.702,44.572,1728.542,11.56,-40.9,-28.119,6075.704,40.633,28.907,22.368,36.66,39.99,25.265,-13.164,-30.208,29796.029,,-19.193,-30.648,2014.141,13.47,19294.33,129.035,33.683,64.755,-6.564,-1.775,25.26,233.263,1.56,3777.074,,,,,3.901,12.676,13.41,-17.696,-1.784,8.131,465.032,3.11,1215.867,7.777,4.081,2.377,0.44,70.232,3965.479,26.52,10501.697,66.317,35.245,-3.33,-9.083,-1.742,-0.865,40.32,2416.371,16.16,6028.967,40.41,20.234,-1.231,-0.738,59.203,52.335,0.35,8852.555,,,,,0.875,29.711,6.029,2.18,0.0,-15.827,-1.134,325.971,0.0,901.429,5.451,0.0,3.025,5979.62,199.267,8.124,1.305,29.912,1549.109,10.36,4472.73,25.906,15.011,63.801,3.45,8.909,526.338,3.52,1332.183,8.802,4.471,5.658,0.206,4.115,231.768,1.55,615.242,3.876,2.065
CIS (EI),2023,,,,27.323,1.049,,4.886,,,,0.043,,0.014,0.216,,1523.925,,284.111,-1.377,-44.005,,3151.366,18.632,13.472,,1524.836,14.474,0.729,81.861,,,0.647,64.499,,1017.782,,10028.712,66.747,88.659,0.487,28.888,5960.175,,722.301,,-4.213,-340.213,,7735.53,47.369,52.691,,1.931,10.101,657.213,,253.002,,16.592,5.81,1.834,17.363,1282.834,,501.107,,32.863,11.341,,,0.258,-0.618,577.875,,231.826,,15.203,5.109,1.411,35.395,2544.612,,11.37,,-2.258,-179.902,,7786.241,0.746,22.496,4.476,1.502,,0.326,0.006,,,,0.099,,0.04,,11311.546,3.207,17.981,704.959,,269.28,,17.66,6.232,15.05,1.981,15.521,,5.975,,0.392,0.137,27.342,4.844,22.863,,8.801,,0.577,0.202
Canada,2023,CAN,38781288.0,,14.727,4.328,869.309,33.713,230.008,8.92,1.405,0.87,170.043,-3.741,-4.002,2655.261,102.974,833.65,32.33,4.119,13.595,8860.977,343.64,5.092,2.657,607.38,634.9,20.738,-2.444,-97.087,99916.398,,-0.877,-22.292,3251.568,126.1,64956.051,2519.079,19.861,65.01,-2.493,-30.863,1207.272,2350.618,91.16,31130.279,2.938,54.299,49057.211,1902.502,14.358,31.156,107.96,-8.43,-90.864,946.059,9421.812,365.39,24394.736,57.551,24.415,-4.294,-74.795,1355.807,13119.729,508.8,34960.352,80.139,34.99,-27.52,-4.531,2.752,5.155,221.892,2292.601,88.91,5721.629,14.004,5.726,1.051,12.573,1208.833,67.3,2.61,31170.51,1.432,45.626,83323.969,3231.411,0.411,31.197,33.149,10.384,,13.824,4.026,267.77,,854.778,1.636,,0.855,16371.299,3874.887,-5.562,-79.95,1133.915,10827.129,419.89,29238.721,66.135,29.263,8.387,1.469,19.85,192.877,7.48,511.852,1.178,0.512,1.459,1.091,101.143,982.432,38.1,2608.044,6.001,2.61
Central America (EI),2023,,,,16.149,0.045,,0.321,,,,0.076,,15.075,1.985,,15.153,,,,,,,,3.573,,65.254,18.468,2.375,9.839,,,8.404,24.06,,,,310.357,,73.171,83.569,5.308,11.659,,,,,,,,,2.749,,-19.288,-16.046,65.902,,25.37,,38.878,15.537,-10.967,-14.221,113.798,,42.663,,65.38,26.829,,,,0.0,0.0,,0.0,,0.0,0.0,6.285,16.768,283.545,,,,,,,,,66.849,27.779,9.672,,-0.843,-0.248,,,,14.823,,6.549,,424.156,-10.967,-14.221,113.798,,42.663,,65.38,26.829,4.755,0.361,8.624,,3.32,,5.088,2.033,17.964,1.667,11.173,,4.301,,6.591,2.634
Chad,2023,TCD,18278574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,8.181,6.183,4473.131,81.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,2023,CHL,19629588.0,,,,,,,,,,291.113,-26.361,-17.462,2485.072,48.781,711.171,13.96,,,,,16.697,9.677,83.61,83.61,20.85,0.112,0.562,25678.967,,-4.623,-16.973,1668.909,32.76,17838.598,350.164,39.182,69.468,-3.457,-2.512,70.145,789.115,15.49,3573.413,,,,,18.526,13.916,24.34,17.864,9.268,62.421,1217.55,23.9,3179.953,28.585,12.383,13.548,17.536,153.903,2590.477,50.85,7840.368,60.818,30.532,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.315,3.001,231.239,168.623,3.31,11780.114,,,,,3.959,45.875,18.933,6.027,0.42,-0.737,-0.127,307.037,21.396,964.536,7.208,0.502,3.756,4259.386,504.068,13.548,17.536,153.903,2590.477,50.85,7840.368,60.818,30.532,15.681,6.252,47.22,848.209,16.65,2405.528,19.914,9.368,9.641,2.143,25.329,503.322,9.88,1290.352,11.817,5.025
China,2023,CHN,1425671296.0,,5.6,1.634,21.616,30.818,131.201,187.05,1.977,0.065,582.317,4.676,1140.74,17913.33,25538.52,4027.233,5741.51,1.952,495.051,18139.301,25860.682,60.695,53.847,9445.28,9459.59,22.499,6.54,2911.25,33266.828,,6.337,2304.766,4294.56,6122.63,27129.266,38677.414,64.724,81.55,7.2,271.906,4048.381,215.758,307.6,2839.632,5.597,124.169,1643.144,2342.583,3.252,8.536,5508.48,-5.556,-199.657,3184.722,873.392,1245.17,2233.84,13.163,6.715,7.767,606.485,8750.152,2340.624,3336.96,6137.566,35.276,18.45,-14.31,-0.152,4.055,38.429,1083.629,304.923,434.72,760.083,4.596,2.285,10.882,892.118,9090.51,51.569,73.52,6376.301,2.102,50.055,1705.142,2430.972,0.777,19.167,632.369,198.125,,8.547,49.797,138.97,,443.558,2.094,,1.333,6635.183,47427.562,8.341,568.056,7666.523,2035.701,2902.24,5377.483,30.68,16.165,36.717,403.474,1517.424,409.737,584.15,1064.358,6.175,3.199,16.154,312.807,2301.191,621.37,885.87,1614.11,9.365,4.852
